"subscriptionId","resourceGroup","name","type","location","totalTags","estadoEtiquetado","tagsActuales"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","AzureAutomationTutorialScript","microsoft.automation/automationaccounts/runbooks","eastus2","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","Espacio en BD supero umbral","microsoft.insights/metricalerts","global","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","rgprotgproddiag316","microsoft.storage/storageaccounts","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","AzureAutomationTutorialPython2","microsoft.automation/automationaccounts/runbooks","eastus2","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","Se encontraron 20 errores","microsoft.insights/metricalerts","global","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","defaultresourcegroup-scus","SecurityCenterFree(DefaultWorkspace-720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78-SCUS)","microsoft.operationsmanagement/solutions","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","vmContpaq_Disco2","microsoft.compute/disks","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","ctamesahesk","microsoft.storage/storageaccounts","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","SaltoLideres","microsoft.insights/components","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","vmdatabaseptg-datos","microsoft.compute/disks","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","defaultresourcegroup-eus","SecurityCenterFree(DefaultWorkspace-720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78-EUS)","microsoft.operationsmanagement/solutions","eastus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","OSTickets14","microsoft.insights/components","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","Failure Anomalies - OSTicketsv14","microsoft.alertsmanagement/smartdetectoralertrules","global","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","fs_osTickets_at","microsoft.compute/disks","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","20200527clonostickets","microsoft.insights/components","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","webappprotgPaso","microsoft.web/sites","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","ctaosticketsbackup","microsoft.storage/storageaccounts","southcentralus","0","Sin etiquetas","{}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","Failure Anomalies - OSTickets14","microsoft.alertsmanagement/smartdetectoralertrules","global","0","Sin etiquetas","{}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","SqlIaasExtension","microsoft.compute/virtualmachines/extensions","eastus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","Microsoft.Insights.VMDiagnosticsSettings","microsoft.compute/virtualmachines/extensions","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","rgProtgWeb-SouthCentralUSwebspace-260417174944","microsoft.web/certificates","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","vmDataBase-nsg","microsoft.network/networksecuritygroups","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","StartStop_VM_Notification","microsoft.insights/actiongroups","global","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","default-activitylogalerts","Avisos BD","microsoft.insights/actiongroups","global","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","azurebackuprg_southcentralus_1","AzureBackup_vmContpaq_17593741109035","microsoft.compute/restorepointcollections","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","defaultresourcegroup-scus","DefaultWorkspace-720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78-SCUS","microsoft.operationalinsights/workspaces","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","vmClienteCont-nsg","microsoft.network/networksecuritygroups","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","SqlIaasExtension","microsoft.compute/virtualmachines/extensions","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","Application Insights Smart Detection","microsoft.insights/actiongroups","global","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","rgProtgWeb-SouthCentralUSwebspace-250415183916","microsoft.web/certificates","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","ServicePlan8c7d6aa0-90a3","microsoft.web/serverfarms","centralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","protg-mesaservicio","microsoft.web/certificates","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","PruebasOSTickets2409","microsoft.web/sites","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","gProtgVirtualGateway","microsoft.network/virtualnetworkgateways","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","networkwatcherrg","NetworkWatcher_eastus","microsoft.network/networkwatchers","eastus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","vmDataBaseptg-pip-643d9b4f80c148c0b6b48a554ad50d1c","microsoft.network/publicipaddresses","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","MicrosoftMonitoringAgent","microsoft.compute/virtualmachines/extensions","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","azurebackuprg_southcentralus_1","AzureBackup_vmDataBaseptg_17592419746049","microsoft.compute/restorepointcollections","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","DependencyAgentWindows","microsoft.compute/virtualmachines/extensions","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","23.101.183.161","microsoft.network/publicipaddresses","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","migracion-mysql-test","migracion-Mysql-test","microsoft.network/virtualnetworks","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","vmDataBaseptg","microsoft.compute/virtualmachines","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgweb","FAA2E6E9223DBA57B3DBE53C17E106BA229D170A-osTicket-WebApp-SouthCentralUSwebspace","microsoft.web/certificates","southcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","azureapp-auto-alerts-4c9b2d-francisco_caudillo_grupoprotg_com","Problema de Service Health en 'Microsoft Azure'","microsoft.insights/activitylogalerts","global","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","migracion-mysql-test","test","microsoft.network/virtualnetworks","westcentralus","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","Migration_AG2","microsoft.insights/actiongroups","global","","Etiquetado alto",""
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","networkwatcherrg","NetworkWatcher_southcentralus","microsoft.network/networkwatchers","southcentralus","","Etiquetado alto",""
